X,Y,OBJECTID,CLASS,TANK_FUNCTION,TANK_MATERIAL,TANK_CONTENTS,TANK_UNDERGROUND,VOLUME,POTABLE_WATER,ROTATION,GIS_MANUFACTURER,ASSET_LEVEL_ACCURACY,ASSET_POSITIONAL_ACCURACY,FUNCTIONAL_LOC,GIS_CUSTODIAN,GIS_DESCRIPTION,GIS_OWNER,CREATED_DATE,LAST_EDITED_DATE,DATA_SOURCE
153.292139123,-27.829137766,1,STORAGE_TANK,OTHER,CONCRETE,RAIN WATER,N,,N,,,F,D,K-HERI02,51000811,Storage Tank,GCCC,2016/02/04 23:01:29,2019/05/25 13:05:27,FPU
153.427596763,-27.806774493,2,STORAGE_TANK,SEPTIC,PLASTIC,EFFLUENT,N,20000,N,,,F,E,S-TP-TPLNT-TIPP,51000989,SEWERAGE TREATEMENT PLANT STORAGE TANKS,GCCC,2015/10/13 04:02:59,2019/05/25 13:05:23,
153.421249108,-27.884695678,3,STORAGE_TANK,SEPTIC,CONCRETE,EFFLUENT,Y,,N,,,F,E,F-CGNCUR-AMEN02,51000989,UNDERGROUND STORAGE TANK,GCCC,2015/07/21 00:27:18,2020/11/17 08:05:57,
153.233191128,-27.939095067,4,STORAGE_TANK,DRINKING WATER,PLASTIC,RAIN WATER,N,,Y,,,F,D,K-HOLL01,51000811,STORAGE TANK,GCCC,2014/05/23 08:17:10,2019/05/25 13:06:02,FPU
153.423310879,-28.133303751,5,STORAGE_TANK,SEPTIC,CONCRETE,UNTREATED WATER,Y,,N,,,F,D,K-COPLIC,51000811,STORAGE TANK,GCCC,2014/05/23 08:17:11,2019/05/25 13:05:51,FPU
153.303413733,-27.8303085119999,6,STORAGE_TANK,OTHER,PLASTIC,RAIN WATER,N,22.5,N,,DURAPLAS,F,E,F-DPCOOM,51003030,WASTE WATER FROM THE WORKSHOP,GCCC,2015/05/11 04:27:14,2019/05/25 13:04:20,AIR
153.280384184,-27.8178088569999,7,STORAGE_TANK,DETENTION,FIBREGLASS,STORMWATER,N,5000,N,,,F,E,F-CCPIMP,51001196,STORAGE TANK - MENS SHED,GCCC,2017/09/11 04:35:04,2019/01/23 04:39:25,AIR
153.243291658,-28.069238071,8,STORAGE_TANK,FIRE FIGHTING,OTHER,TBA,,,,,,F,,R-L-LOWERBEECHMONTS,51000811,STORAGE TANK,SG,2014/05/23 08:17:15,2019/01/23 04:39:20,
153.229991717,-27.7969889779999,9,STORAGE_TANK,FIRE FIGHTING,CONCRETE,NON-POTABLE WATER,N,22,N,,,F,D,K-THEPLA,51000811,STORAGE TANK,GCCC,2014/05/23 08:17:15,2020/04/14 05:40:14,FPU
153.427554922,-27.806579949,10,STORAGE_TANK,SEPTIC,PLASTIC,EFFLUENT,N,20000,N,,Alpha Concepts Pty Ltd,F,E,S-TP-TPLNT-TIPP,51000989,SEWERAGE TREATEMENT PLANT STORAGE TANKS,GCCC,2017/10/17 01:54:29,2019/05/25 13:04:20,
153.383386797,-27.958111808,11,STORAGE_TANK,DRINKING WATER,PLASTIC,RAIN WATER,N,,Y,,,F,D,F-CMSLAW,51000989,STORAGE TANK,GCCC,2014/05/23 08:17:09,2019/05/25 13:04:25,FPU
153.441997325,-28.1829646,12,STORAGE_TANK,FIRE FIGHTING,CONCRETE,RAIN WATER,N,18,N,,,F,,R-P-PIGGABEENROADXX,51000811,STORAGE TANK,GCCC,2014/05/23 08:17:15,2020/04/23 07:50:35,
153.290458664,-27.8297375189999,13,STORAGE_TANK,OTHER,GALVANISED STEEL,RAIN WATER,N,,N,,,F,D,K-HERI02,51000811,Storage Tank,GCCC,2016/02/04 23:01:37,2019/03/20 23:52:14,FPU
153.395708978,-28.130360708,14,STORAGE_TANK,FIRE FIGHTING,CONCRETE,NON-POTABLE WATER,N,20,N,,,F,,K-CHES01,51000811,STORAGE TANK,GCCC,2014/05/23 08:17:15,2020/04/23 07:50:35,
153.2115301,-27.871378222,15,STORAGE_TANK,FIRE FIGHTING,CONCRETE,RAIN WATER,N,22,N,,,F,,R-J-JOURDANADRIVEXX,51000811,STORAGE TANK,GCCC,2014/05/23 08:17:14,2020/04/14 05:45:38,
153.285313522,-27.898174938,16,STORAGE_TANK,SEPTIC,CONCRETE,UNTREATED WATER,Y,,N,,,F,D,K-JOHNSI,51000811,STORAGE TANK,GCCC,2014/05/23 08:17:14,2019/05/25 13:04:29,FPU
153.426051135,-27.809883294,17,STORAGE_TANK,FIRE FIGHTING,PLASTIC,RAIN WATER,N,22,N,,,F,D,F-CGTIPP,51000811,WITHIN LEASED AREA,GCCC,2014/05/23 08:17:13,2020/08/13 08:38:43,FPU
153.356342372,-28.0374871679999,18,STORAGE_TANK,,PLASTIC,RAIN WATER,N,,,,,F,,F-DPCARR,51003030,RAIN WATER STORAGE TANK,GCCC,2014/05/23 08:17:18,2019/07/18 01:27:56,
153.349923759,-27.805950364,19,STORAGE_TANK,FIRE FIGHTING,CONCRETE,NON-POTABLE WATER,N,20,N,,,F,D,K-PIMP02,51000811,STORAGE TANK,GCCC,2014/05/23 08:17:15,2020/08/27 21:11:35,FPU
153.349958835,-27.8059243709999,20,STORAGE_TANK,FIRE FIGHTING,CONCRETE,NON-POTABLE WATER,N,20,N,,,F,D,K-PIMP02,51000811,STORAGE TANK,GCCC,2014/05/23 08:17:15,2020/08/27 21:09:36,FPU
153.349490193,-27.996164494,21,STORAGE_TANK,IRRIGATION,CONCRETE,RAIN WATER,,,,,,F,D,K-GLENNO,51000811,STORAGE TANK,GCCC,2014/05/23 08:17:15,2019/08/01 01:51:26,FPU
153.349342177,-27.9960080989999,22,STORAGE_TANK,IRRIGATION,CONCRETE,RAIN WATER,,,,,,F,D,K-GLENNO,51000811,STORAGE TANK,GCCC,2014/05/23 08:17:15,2019/08/01 01:51:26,FPU
153.499615422,-28.1505464169999,23,STORAGE_TANK,OTHER,PLASTIC,RAIN WATER,N,,,,,F,E,F-CCTUGU,51001196,STORAGE TANK RAINWATER,GCCC,2016/09/19 22:43:52,2019/08/08 04:07:31,AIR
153.320798289,-27.865476283,24,STORAGE_TANK,DRINKING WATER,CONCRETE,RAIN WATER,N,,Y,,,F,D,K-COOM07,51000811,STORAGE TANK,GCCC,2014/05/23 08:17:18,2019/05/25 13:04:23,FPU
153.499412152,-28.150178393,25,STORAGE_TANK,OTHER,PLASTIC,RAIN WATER,N,,,,,F,E,F-CCTUGU,51001196,STORAGE TANK RAINWATER,GCCC,2016/09/19 22:43:54,2019/08/08 04:07:31,AIR
153.499593759,-28.150523568,26,STORAGE_TANK,OTHER,PLASTIC,RAIN WATER,N,,,,,F,E,F-CCTUGU,51001196,STORAGE TANK RAINWATER,GCCC,2016/09/19 22:33:41,2019/08/08 04:07:31,AIR
153.283422413,-27.81906916,27,STORAGE_TANK,SEPTIC,CONCRETE,EFFLUENT,Y,20,N,,,F,E,K-RUFOUS,51000811,SEPTIC HOLDNG TANK,GCCC,2019/08/13 05:15:08,2019/08/13 05:36:32,SKE
153.401446675,-28.140387312,28,STORAGE_TANK,SEPTIC,CONCRETE,UNTREATED WATER,Y,,N,,,F,D,K-LOWE03,51000811,STORAGE TANK,GCCC,2014/05/23 08:17:05,2019/05/25 13:04:47,FPU
153.423448657,-28.128662264,29,STORAGE_TANK,SEPTIC,CONCRETE,EFFLUENT,N,,,,,F,E,K-COPLIC,51000811,Storage Tank,GCCC,2018/03/05 02:11:04,2019/05/25 13:04:15,AIR
153.352710995,-28.0705239179999,30,STORAGE_TANK,IRRIGATION,PLASTIC,RAIN WATER,N,,N,,,F,D,K-SIDB01,51000811,STORAGE TANK,GCCC,2014/05/23 08:17:18,2019/05/25 13:05:40,FPU
153.313311132,-27.9913092899999,31,STORAGE_TANK,,,TBA,,,,,,F,D,K-COUN02,51000811,STORAGE TANK,GCCC,2014/05/23 08:17:05,2019/05/25 13:04:51,FPU
153.421322511,-27.906341346,32,STORAGE_TANK,DRINKING WATER,FIBREGLASS,RAIN WATER,N,,,,,F,,F-CGSCUR,51000989,STORAGE TANK,GCCC,2014/05/23 08:17:18,2019/05/25 13:05:16,
153.290463187,-27.8297101539999,33,STORAGE_TANK,OTHER,GALVANISED STEEL,RAIN WATER,N,,N,,,F,D,K-HERI02,51000811,Storage Tank,GCCC,2016/02/04 23:20:26,2019/05/25 13:05:41,FPU
153.310685602,-27.8913988639999,34,STORAGE_TANK,SEPTIC,CONCRETE,UNTREATED WATER,Y,,N,,,F,D,K-OXEN02,51000811,STORAGE TANK,GCCC,2014/05/23 08:17:18,2019/05/25 13:05:27,FPU
153.39140403,-28.081755743,35,STORAGE_TANK,IRRIGATION,CONCRETE,RECYCLED WATER,Y,,N,,,F,D,K-SCOTTS,51000811,STORAGE TANK,GCCC,2014/05/23 08:17:18,2019/05/25 13:05:41,FPU
153.312079735,-27.9902802149999,36,STORAGE_TANK,,,TBA,,,,,,F,D,K-COUN02,51000811,STORAGE TANK,GCCC,2014/05/23 08:17:05,2019/05/25 13:05:41,FPU
153.243545358,-27.7336365959999,37,STORAGE_TANK,SEPTIC,CONCRETE,UNTREATED WATER,Y,,N,,,F,D,F-WMSTAP,51100218,STORAGE TANK,GCCC,2014/05/23 08:17:11,2019/05/25 13:06:12,FPU
