,x,y,tank_function,tank_material,tank_contents,tank_underground,volume,potable_water,asset_level_accuracy,asset_positional_accuracy,functional_loc
1,153.427596763,-27.806774493,SEPTIC,PLASTIC,EFFLUENT,N,20000.0,N,F,E,S-TP-TPLNT-TIPP
2,153.421249108,-27.884695678,SEPTIC,CONCRETE,EFFLUENT,Y,11335.081081081082,N,F,E,F-CGNCUR-AMEN02
4,153.423310879,-28.133303751,SEPTIC,CONCRETE,UNTREATED WATER,Y,11335.081081081082,N,F,D,K-COPLIC
9,153.427554922,-27.806579949,SEPTIC,PLASTIC,EFFLUENT,N,20000.0,N,F,E,S-TP-TPLNT-TIPP
15,153.285313522,-27.898174938,SEPTIC,CONCRETE,UNTREATED WATER,Y,11335.081081081082,N,F,D,K-JOHNSI
26,153.283422413,-27.81906916,SEPTIC,CONCRETE,EFFLUENT,Y,20.0,N,F,E,K-RUFOUS
27,153.401446675,-28.140387312,SEPTIC,CONCRETE,UNTREATED WATER,Y,11335.081081081082,N,F,D,K-LOWE03
28,153.423448657,-28.128662264,SEPTIC,CONCRETE,EFFLUENT,N,11335.081081081082,N,F,E,K-COPLIC
33,153.310685602,-27.8913988639999,SEPTIC,CONCRETE,UNTREATED WATER,Y,11335.081081081082,N,F,D,K-OXEN02
36,153.243545358,-27.7336365959999,SEPTIC,CONCRETE,UNTREATED WATER,Y,11335.081081081082,N,F,D,F-WMSTAP
44,153.26891199,-28.194908676,SEPTIC,CONCRETE,UNTREATED WATER,Y,11335.081081081082,N,F,D,F-CCSPRI
53,153.245031972,-27.7326908699999,SEPTIC,CONCRETE,UNTREATED WATER,Y,11335.081081081082,N,F,D,F-AMSTAP
56,153.428526883,-27.9777638209999,SEPTIC,PLASTIC,EFFLUENT,Y,11335.081081081082,N,F,E,F-TPMAIN
60,153.229966955,-28.199287177,SEPTIC,CONCRETE,UNTREATED WATER,Y,11335.081081081082,N,F,D,K-BOCHOW
62,153.423287454,-28.133282886,SEPTIC,CONCRETE,UNTREATED WATER,Y,11335.081081081082,N,F,D,K-COPLIC
63,153.423261522,-28.1333080549999,SEPTIC,CONCRETE,UNTREATED WATER,Y,11335.081081081082,N,F,D,K-COPLIC
65,153.423394417,-28.1284946229999,SEPTIC,CONCRETE,UNTREATED WATER,Y,11335.081081081082,N,F,D,K-COPLIC
66,153.427553445,-27.806758848,SEPTIC,PLASTIC,EFFLUENT,N,20000.0,N,F,E,S-TP-TPLNT-TIPP
71,153.440117917,-27.771655951,SEPTIC,FIBREGLASS,UNTREATED WATER,Y,11335.081081081082,N,F,D,F-OTSSTR
72,153.260778944,-28.1647431549999,SEPTIC,CONCRETE,UNTREATED WATER,Y,11335.081081081082,N,F,D,K-APPLET
73,153.229967001,-28.1993084759999,SEPTIC,CONCRETE,UNTREATED WATER,Y,11335.081081081082,N,F,D,K-BOCHOW
74,153.363639396,-27.779452335,SEPTIC,CONCRETE,UNTREATED WATER,Y,11335.081081081082,N,F,D,F-CCJACO-MAINBU
79,153.444739007,-28.168498089,SEPTIC,CONCRETE,UNTREATED WATER,Y,11335.081081081082,N,F,D,K-ROBE04
95,153.423407298,-28.128524547,SEPTIC,CONCRETE,UNTREATED WATER,Y,11335.081081081082,N,F,D,K-COPLIC
99,153.423378981,-28.1287226659999,SEPTIC,CONCRETE,UNTREATED WATER,N,11335.081081081082,N,F,E,K-COPLIC
103,153.378131966,-28.173646388,SEPTIC,PLASTIC,UNTREATED WATER,Y,11335.081081081082,N,F,D,K-GEORGE
118,153.427712645,-28.0664342,SEPTIC,CONCRETE,UNTREATED WATER,Y,11335.081081081082,N,F,D,K-PIZZEY
